resolution,emotions,people,tries,time
10,10,31,4,92.3539214
10,10,32,4,100.2278725
10,10,33,2,53.5727709
10,10,34,2,89.1210976
10,10,35,2,609.9665514
10,10,36,2,1303.3051212
10,10,37,2,1730.3091548
10,10,38,2,1967.4093884
10,10,4,8,12.4577967
10,10,5,8,16.7552492
10,10,6,20,46.4051488
10,10,7,20,56.89109
10,10,8,20,57.5680066
10,10,9,20,66.9432816
10,11,10,20,88.8645078
10,11,11,6,29.7416473
10,11,12,6,33.6201673
10,11,13,6,37.4851741
10,11,14,6,42.3752925
10,11,15,6,45.540428
10,11,16,6,50.2401442
10,11,17,6,55.7466013
10,11,18,6,60.8235069
10,11,19,6,62.6548055
10,11,2,8,7.232669
10,11,20,6,70.8149458
10,11,21,6,77.7584108
10,11,22,6,79.6362961
10,11,23,6,91.2198339
10,11,24,6,97.2396086
10,11,25,6,98.181673
10,11,26,4,72.8623719
10,11,27,4,75.7535356
10,11,28,4,82.0958524
10,11,29,4,87.4354006
10,11,3,8,11.3692875
10,11,30,4,95.9095538
10,11,31,4,103.1547588
10,11,32,4,111.846546
10,11,33,2,57.573599
10,11,34,2,93.8043508
10,11,35,2,397.7106978
10,11,36,2,1459.7131279
10,11,37,2,1714.2376001
10,11,38,2,2167.8820832
10,11,4,8,12.3908615
10,11,5,8,15.5067305
10,11,6,20,48.0214147
10,11,7,20,56.8936661
10,11,8,20,65.6739955
10,11,9,20,76.4396687
10,12,10,20,98.1620111
10,12,11,6,33.9122801
10,12,12,6,38.7181221
