resolution,emotions,people,tries,time
14,14,3,2,13.1631272
14,14,4,2,16.7307931
14,14,5,2,20.6306011
14,14,6,2,24.8168848
14,14,7,2,29.2983647
14,14,8,2,33.7948498
14,14,9,2,38.896892
15,14,10,2,54.9747863
15,14,11,2,66.0942782
15,14,12,2,71.6835884
15,14,13,2,81.41932
15,14,14,2,93.3158648
15,14,15,2,116.2632307
15,14,16,2,2359.0383824
15,14,17,2,3164.4662803
15,14,2,2,14.235341
15,14,3,2,16.7194354
15,14,4,2,20.9320883
15,14,5,2,25.8863031
15,14,6,2,32.4532242
15,14,7,2,37.5479275
15,14,8,2,43.2823525
15,14,9,2,49.2669555
2,14,10,2,2.4690391
2,14,11,2,3.8760923
2,14,12,2,5.2483574
2,14,13,2,6.2432552
2,14,14,2,3.9953664
2,14,15,2,4.8723929
2,14,16,2,5.5592511
2,14,17,2,7.282812
2,14,18,2,6.9120997
2,14,19,2,5.7874532
2,14,2,2,0.7374853
2,14,20,2,7.0459406
2,14,21,2,4.2395595
2,14,22,2,4.4418127
2,14,23,2,4.6843987
2,14,24,2,4.8574096
2,14,25,2,5.0948275
2,14,26,2,5.1806925
2,14,27,2,5.4532417
2,14,28,2,5.7266746
2,14,29,2,5.8327988
2,14,3,2,1.1782575
2,14,30,2,6.2417747
2,14,31,2,6.1551492
2,14,32,2,6.3072168
2,14,33,2,6.6514372
2,14,34,2,7.1020091
2,14,35,2,7.0736676
2,14,36,2,7.2100606
2,14,37,2,7.4802431
2,14,38,2,7.7857571
2,14,39,2,7.9034423
2,14,4,2,1.542704
2,14,40,2,7.9567763
2,14,41,2,8.383509
2,14,42,2,8.7718638
2,14,43,2,8.9280243
2,14,44,2,8.9777058
2,14,45,2,9.2182525
2,14,46,2,9.5152668
2,14,47,2,9.5462466
2,14,48,2,9.9886924
2,14,49,2,9.5488325
2,14,5,2,2.0686974
2,14,50,2,9.7344269
2,14,51,2,9.9163363
2,14,52,2,10.1296219
2,14,53,2,10.3467423
2,14,54,2,10.479578
2,14,55,2,10.6891598
2,14,56,2,10.883493
2,14,57,2,11.124742
2,14,58,2,11.3034509
2,14,59,2,11.4650601
2,14,6,2,2.2868922
2,14,60,2,11.6711225
2,14,61,2,12.7061592
2,14,62,2,13.1952809
2,14,63,2,13.0981166
2,14,64,2,13.495087
2,14,65,2,13.4649502
2,14,66,2,14.3031473
2,14,67,2,14.3225412
2,14,68,2,14.3861161
2,14,69,2,14.6563123
2,14,7,2,2.5573429
2,14,70,2,14.6514582
2,14,71,2,14.7956372
2,14,72,2,14.9768406
2,14,73,2,15.2131239
2,14,74,2,15.703345
2,14,75,2,16.1791914
2,14,76,2,15.9728045
2,14,77,2,16.0805768
2,14,78,2,16.4576655
2,14,79,2,16.1461104
2,14,8,2,2.8015033
2,14,80,2,15.7497992
2,14,9,2,2.4616803
3,14,10,2,3.2587791
3,14,11,2,4.2272415
3,14,12,2,4.1671568
3,14,13,2,3.5567751
3,14,14,2,4.3213592
3,14,15,2,4.0139048
3,14,16,2,3.9766805
3,14,17,2,4.378343
3,14,18,2,4.7017218
3,14,19,2,4.9151742
3,14,2,2,0.5351338
3,14,20,2,5.2732117
3,14,21,2,4.437364
3,14,22,2,4.6529836
3,14,23,2,4.8470913
3,14,24,2,5.1365526
3,14,25,2,5.3478821
3,14,26,2,5.2575425
3,14,27,2,5.3741163
3,14,28,2,5.6246662
3,14,29,2,5.8340904
3,14,3,2,0.7690078
3,14,30,2,6.0242806
3,14,31,2,6.2686549
3,14,32,2,6.4348928
3,14,33,2,6.7363638
3,14,34,2,6.8969961
3,14,35,2,7.1328456
3,14,36,2,7.3253468
3,14,37,2,7.5347314
3,14,38,2,7.7598243
3,14,39,2,7.9766456
3,14,4,2,1.1986559
3,14,40,2,8.167454
3,14,41,2,8.7453306
3,14,42,2,8.9095989
3,14,43,2,9.146481
3,14,44,2,9.366205
3,14,45,2,9.4261569
3,14,46,2,9.6790085
3,14,47,2,9.9032829
3,14,48,2,10.2302776
3,14,49,2,10.382728
3,14,5,2,1.6952307
3,14,50,2,10.5358711
3,14,51,2,10.7891956
3,14,52,2,11.1266317
3,14,53,2,11.3160902
3,14,54,2,11.4712161
3,14,55,2,11.716048
3,14,56,2,12.0074056
3,14,57,2,12.2242715
3,14,58,2,12.3721176
3,14,59,2,12.6680907
3,14,6,2,2.3589701
3,14,60,2,12.901951
3,14,61,2,13.2836058
3,14,62,2,13.4515616
3,14,63,2,13.6898683
3,14,64,2,13.9012187
3,14,65,2,14.1939105
3,14,66,2,14.370569
3,14,67,2,14.6570663
3,14,68,2,14.827441
3,14,69,2,15.1254597
3,14,7,2,2.7392922
3,14,70,2,15.325841
3,14,71,2,15.6010586
3,14,72,2,15.7557595
3,14,73,2,16.0493657
3,14,74,2,16.3448143
3,14,75,2,16.5543052
3,14,76,2,16.8026383
3,14,77,2,16.9987079
3,14,78,2,17.2434532
3,14,79,2,17.5249426
3,14,8,2,2.7947767
3,14,80,2,17.7727663
3,14,9,2,2.9838005
